runnerId,runTime,latitude,longitude,altitude,distance,heartRate,speed
123,1779,61.51311963,23.78172744,110.1999969,6330.069824,180,3.378000021
123,1780,61.51311963,23.78172744,110.4000015,6330.069824,179,3.378000021
123,1781,61.51311041,23.78166843,110.1999969,6333.379883,181,3.378000021
123,1782,61.51309071,23.78156014,110.1999969,6339.540039,180,3.378000021
123,1783,61.51309071,23.78156014,110.1999969,6339.540039,181,3.378000021
123,1784,61.51307093,23.78143365,110,6346.620117,181,3.378000021
123,1785,61.51307093,23.78143365,110,6346.620117,180,3.378000021
123,1786,61.51306523,23.7813671,110,6350.209961,180,3.368000031
123,1787,61.51305961,23.78130038,110,6353.819824,180,3.368000031
123,1788,61.51305249,23.78122838,109.8000031,6357.72998,179,3.368000031
123,1789,61.51304738,23.78115596,110,6361.629883,180,3.378000021
123,1790,61.51303849,23.78108321,110,6365.629883,181,3.378000021
123,1791,61.51303313,23.78101422,110,6369.339844,180,3.378000021
123,1792,61.51302575,23.78094507,110,6373.109863,179,3.387000084
123,1793,61.51302081,23.78087969,110.1999969,6376.629883,179,3.395999908
123,1794,61.51301678,23.78081121,110,6380.299805,179,3.395999908
123,1795,61.51301167,23.78074491,110.1999969,6387.459961,179,3.405999899
123,1796,61.51300455,23.78067912,110.1999969,6387.459961,179,3.414999962
123,1797,61.51299574,23.78061558,110.4000015,6390.97998,179,3.414999962
123,1798,61.5129918,23.78055481,110.4000015,6394.209961,179,3.424000025
123,1799,61.51298694,23.78049379,110.4000015,6397.490234,179,3.424000025
123,1800,61.51298116,23.78042883,110.1999969,6401,180,3.434000015
123,1801,61.51296607,23.78029355,110.1999969,6408.399902,179,3.434000015
123,1802,61.51296607,23.78029355,110.1999969,6408.399902,179,3.434000015
123,1803,61.51295492,23.78023043,110.1999969,6411.97998,180,3.434000015
123,1804,61.51294185,23.78017092,110.4000015,6415.450195,179,3.443000078
123,1805,61.51293087,23.78010605,110.1999969,6419.109863,179,3.443000078
123,1806,61.51291461,23.78003631,110.1999969,6423.240234,179,3.443000078
123,1807,61.512896,23.77997152,110.1999969,6427.259766,179,3.451999903
123,1808,61.51287521,23.77990698,110.1999969,6431.399902,179,3.451999903
123,1809,61.51285426,23.77984378,110.1999969,6435.490234,178,3.461999893
123,1810,61.51283272,23.77978276,110.1999969,6439.540039,179,3.470999956
123,1811,61.51280983,23.77972232,110.4000015,6443.629883,178,3.480000019
123,1812,61.5127846,23.7796577,110.4000015,6448.069824,179,3.49000001
123,1813,61.51275828,23.7795955,110.4000015,6452.47998,178,3.499000072
123,1814,61.51273591,23.77954312,110.5999985,6456.220215,180,3.507999897
123,1815,61.5127126,23.77949232,110.5999985,6459.950195,179,3.517999887
123,1816,61.51268251,23.77943222,110.5999985,6464.540039,180,3.536000013
123,1817,61.51265678,23.77937975,110.8000031,6468.509766,179,3.546000004
123,1818,61.51263088,23.77932603,110.8000031,6472.549805,180,3.555000067
123,1819,61.51261001,23.77926702,110.8000031,6476.439941,181,3.563999891
123,1820,61.51258922,23.77921916,110.8000031,6479.859863,180,3.582999945
123,1821,61.51256114,23.77916593,110.8000031,6484.080078,179,3.592000008
123,1822,61.51253734,23.77911262,111.1999969,6487.930176,179,3.601999998
123,1823,61.51251571,23.779062,111.1999969,6491.549805,180,3.611000061
123,1824,61.51248571,23.77903576,111.1999969,6494.850098,179,3.619999886
123,1825,61.51244556,23.77902537,111.1999969,6498.399902,179,3.630000114
123,1826,61.5124106,23.77899083,111.4000015,6502.569824,180,3.630000114
123,1827,61.51235042,23.77891992,111.4000015,6510.149902,180,3.638999939
123,1828,61.51235042,23.77891992,111.5999985,6510.149902,179,3.648000002
123,1829,61.51231874,23.77887122,111.8000031,6514.52002,180,3.657999992
123,1830,61.51228915,23.77882387,112,6518.660156,179,3.667000055
123,1831,61.51225914,23.77878246,112,6522.669922,180,3.676000118
123,1832,61.51222855,23.77875119,112,6526.439941,180,3.686000109
123,1833,61.51217247,23.77866972,112.1999969,6534.009766,180,3.694999933
123,1834,61.51217247,23.77866972,112.1999969,6534.009766,179,3.703999996
123,1835,61.51214833,23.778632,112.1999969,6537.350098,180,3.713999987
123,1836,61.51212017,23.77859127,112.1999969,6541.160156,179,3.713999987
123,1837,61.5120941,23.77854927,112.1999969,6544.819824,180,3.72300005
123,1838,61.51206887,23.77850477,112.1999969,6548.490234,181,3.72300005
123,1839,61.51204398,23.77846512,112.4000015,6551.959961,181,3.732000113
123,1840,61.51201791,23.77842304,112.4000015,6555.629883,179,3.732000113
123,1841,61.51198799,23.77837845,112.4000015,6559.720215,180,3.732000113
